Date_Time,Q_recorded,Q_predicted_1,Q_predicted_2,Q_predicted_3,Q_predicted_4
1993-01-06 17:35:00,0.002,0.0,0.0,0.0,0.0
1993-01-06 17:40:00,0.002,0.0,0.0,0.0,0.0
1993-01-06 17:45:00,0.002,0.0,0.0,0.0,0.0
1993-01-06 17:50:00,0.002,0.0,0.0,0.0,0.0
1993-01-06 17:55:00,0.285,0.0,0.0,0.0,0.0
1993-01-06 18:00:00,1.899,0.0,0.0,0.0,0.0
1993-01-06 18:05:00,1.899,0.03,0.031,0.028,0.028
1993-01-06 18:10:00,1.04,0.21,0.176,0.054,0.167
1993-01-06 18:15:00,0.492,0.661,0.749,0.259,0.748
1993-01-06 18:20:00,0.236,0.706,0.745,0.552,0.82
1993-01-06 18:25:00,0.157,0.512,0.587,0.451,0.613
1993-01-06 18:30:00,0.1,0.379,0.464,0.361,0.472
1993-01-06 18:35:00,0.061,0.294,0.378,0.298,0.379
1993-01-06 18:40:00,0.036,0.237,0.315,0.252,0.314
1993-01-06 18:45:00,0.018,0.196,0.271,0.218,0.265
1993-01-06 18:50:00,0.015,0.172,0.243,0.197,0.234
1993-01-06 18:55:00,0.014,0.177,0.242,0.203,0.239
1993-01-06 19:00:00,0.011,0.216,0.286,0.234,0.281
1993-01-06 19:05:00,0.007,0.253,0.343,0.276,0.332
1993-01-06 19:10:00,0.007,0.261,0.342,0.291,0.342
1993-01-06 19:15:00,0.003,0.228,0.303,0.265,0.301
1993-01-06 19:20:00,0.005,0.188,0.256,0.228,0.251
1993-01-06 19:25:00,0.005,0.152,0.214,0.193,0.206
1993-01-06 19:30:00,0.005,0.124,0.18,0.164,0.171
1993-01-06 19:35:00,0.005,0.102,0.154,0.14,0.143
1993-01-06 19:40:00,0.005,0.084,0.132,0.121,0.121
1993-01-06 19:45:00,0.005,0.071,0.115,0.104,0.103
1993-01-06 19:50:00,0.005,0.06,0.1,0.091,0.088
1993-01-06 19:55:00,0.005,0.051,0.088,0.08,0.076
